Title,Color,Price,Rating,Offer
Apple iPhone 12 Pro Max,Graphite,119900,4.5,0.0
Apple iPhone 14 Pro,Gold,129900,4.6,0.0
Apple iPhone 13 Pro,Alpine Green,119900,4.7,0.0
Apple iPhone 5C,White,41900,3.9,0.0
Apple iPhone 6s,Rose Gold,72000,4.5,0.0
Apple iPhone 5C,Yellow,37500,3.9,3.0
Apple iPhone 14 Pro Max,Deep Purple,177999,4.6,5.0
Apple iPhone 14 Pro,Gold,149900,4.6,15.0
Apple iPhone XR,White,52900,4.6,0.0
Apple iPhone 5C,Green,37500,3.9,0.0
Apple iPhone 5C,Pink,37500,3.9,0.0
Apple iPhone SE,White,39900,4.5,0.0
Apple iPhone 7 Plus,Black,42900,4.5,0.0
Apple iPhone XS Max,Silver,124900,4.6,0.0
Apple iPhone 13 mini,Starlight,64900,4.5,0.0
Apple iPhone 13 Pro Max,Silver,129900,4.6,0.0
Apple iPhone 13 Pro Max,Sierra Blue,129900,4.6,0.0
Apple iPhone 15 Pro Max,White Titanium,188900,4.6,0.0
Apple iPhone 6 Plus,Gold,71500,4.5,0.0
Apple iPhone 14 Plus,Starlight,75999,4.6,0.0
Apple iPhone 6 Plus,Space Grey,80500,4.5,0.0
Apple iPhone 13 Pro,Silver,119900,4.7,0.0
Apple iPhone X,Silver,91900,4.6,0.0
Apple iPhone 14 Pro,Space Black,129900,4.6,0.0
Apple iPhone X,Space Gray,106900,4.6,0.0
Apple iPhone 13 mini,Blue,64900,4.5,0.0
Apple iPhone 6 Plus,Gold,80500,4.7,0.0
Apple iPhone X,Space Gray,91900,4.6,0.0
Apple iPhone 6s,Space Grey,62000,4.5,0.0
Apple iPhone 5C,White,53500,3.9,4.0
Apple iPhone 13 mini,Green,64900,4.5,60.0
Apple iPhone 14 Pro Max,Gold,137999,4.6,60.0
Apple iPhone 5C,Blue,41900,3.9,4.0
Apple iPhone 5C,Green,41900,3.9,4.0
Apple iPhone 5C,Blue,14999,3.9,0.0
Apple iPhone 5C,White,14999,3.9,0.0
